Keyword,Count
definitely better,1
neighbors say,1
neighbors,1
cafe running,1
variety foreign,1
fresh variety,1
needs fresh,1
foreign students,1
students athletes,1
salty,1
greasy,1
greasy salty,1
sodium,1
option chips,1
chips,1
chips items,1
trucks quite,1
just options,1
campus cnm,1
cnm vending,1
food buy,1
pickins,1
slim pickins,1
worked campus,1
available bookstore,1
selection organic,1
limited cnm,1
thats great,1
place campus,1
thats,1
cafeteria food,1
isn cafeteria,1
campus alb,1
food liked,1
sahara sub,1
food la,1
options nuts,1
greater,1
think accessible,1
accessible affordable,1
offer candy,1
blessing,1
wonderful blessing,1
hungry advantage,1
hope students,1
students hungry,1
food meals,1
terrible faculty,1
post covid,1
covid satellite,1
lot food,1
branch campus,1
westside branch,1
campus want,1
hourly lunch,1
easier access,1
access cnm,1
scarce works,1
pantry help,1
expensive unhealthy,1
preferable,1
considered health,1
meal choices,1
campus actual,1
valencia campus,1
actual cafeteria,1
staff discount,1
cafeteria cnm,1
discount food,1
mã variedad,1
variedad bajo,1
necesita mã,1
bajo precio,1
needs choices,1
variety preferable,1
cafeteria coffee,1
benefit meals,1
largely fast,1
largely,1
suffer food,1
insecurity cost,1
better working,1
little better,1
programs,1
working programs,1
delicious healthy,1
posada,1
posada provides,1
grocery store,1
health,1
students benefit,1
sure students,1
source campus,1
month,1
food sell,1
month food,1
corporate options,1
ethnic options,1
vegetarian ethnic,1
need vegetarian,1
student faculty,1
need cafã,1
cafã open,1
meal options,1
healthier meal,1
used effectively,1
pantry don,1
groceries,1
money groceries,1
cheaper available,1
food cheaper,1
food low,1
low quality,1
options nice,1
cooked correctly,1
campus better,1
machines campus,1
services food,1
don purchase,1
sparse campus,1
store miss,1
nice grocery,1
eat food,1
charges,1
priced food,1
food charges,1
avai,1
good avai,1
people pay,1
pay food,1
great idea,1
long students,1
students afford,1
suffering,1
students suffering,1
wish cheap,1
cheap healthy,1
wider,1
needs wider,1
wider variety,1
main cnm,1
cnm spaced,1
campus shape,1
fault campus,1
cost purchasing,1
meal eatery,1
eatery budget,1
purchasing meal,1
easy,1
easy access,1
campus appreciate,1
overly priced,1
appreciate options,1
food food,1
available better,1
uncertain hours,1
availability depends,1
dacc,1
pantry today,1
dacc opening,1
lacking vending,1
cafeteria student,1
student eat,1
college,1
college received,1
grants,1
grants college,1
adequate grants,1
forced,1
eat unless,1
